"";"Word";"Synonym"
"85";"access";"right/opportunity"
"160";"addition";"numbers/amounts"
"318";"allow";"time/money"
"440";"answer";"door/telephone"
"444";"answer";"door/phone"
"481";"apparently";"as heard/read"
"545";"around";"to/in a place"
"558";"arrival";"new person/thing"
"617";"associate";"two things/people"
"698";"average";"usual/typical"
"894";"battle";"problems/illness"
"1178";"body";"not arms/legs"
"1228";"bottom";"sea/river/lake"
"1361";"brush";"clean/arrange"
"1423";"cable";"television/telephone"
"1465";"calm";"sea/weather"
"1473";"camp";"tents/buildings"
"1487";"candidate";"job/election"
"1497";"captain";"ship/aircraft"
"1550";"cash";"notes/coins"
"1658";"character";"qualities/personality"
"1731";"choice";"person/thing"
"1761";"citizen";"town/city"
"1828";"close";"door/window"
"1833";"closed";"business/store"
"1847";"cloud";"smoke/dust"
"1877";"coherence";"shared beliefs/purpose"
"1949";"column";"numbers/words"
"1981";"comfortable";"clothes/furniture"
"2061";"competition";"business/jobs"
"2064";"competitive";"prices/services"
"2312";"constitutional";"relating a/the constitution"
"2421";"convenient";"easy/suitable"
"2525";"costume";"party/film/play"
"2598";"cover";"from weather/attack"
"2647";"crew";"ship/aircraft"
"2676";"cross";"line/border"
"2703";"cry";"animal/bird"
"2753";"cut";"film/writing"
"2844";"declare";"state value/amount"
"2854";"dedicated";"giving time/energy"
"2867";"deepen";"worse/stronger"
"3141";"direct";"film/play"
"3156";"director";"movie/play"
"3178";"disappointment";"person/thing"
"3212";"discovery";"thing/person"
"3264";"distinct";"hear/see"
"3267";"distinguish";"see/hear"
"3348";"donate";"blood/organs"
"3350";"donor";"blood/organs"
"3351";"donor";"money/goods"
"3445";"dry";"hair/skin"
"3645";"enemy";"country/army"
"3734";"ethical";"right/wrong"
"3915";"fair";"hair/skin"
"3921";"fair";"show of goods/services"
"3986";"fan";"machine/object"
"4025";"fasten";"close/attach"
"4095";"feel";"think/have opinion"
"4122";"field";"in race/business"
"4278";"fly";"take/send"
"4484";"free";"no limit/control"
"4496";"fresh";"clean/cool"
"4590";"game";"activity/sport"
"4688";"get";"telephone/door"
"4690";"get";"understand/hear"
"4755";"go";"move/travel"
"4763";"go";"sound/movement"
"4874";"graceful";"movement/shape"
"4980";"guess";"answer/opinion"
"5109";"haunt";"memory/feeling"
"5135";"head";"organization/department"
"5136";"head";"front/top"
"5196";"hero";"book/movie"
"5219";"hide";"feeling/information"
"5225";"high";"amount/level"
"5252";"hit";"with hand/object"
"5280";"holiday";"no work/school"
"5291";"home";"at/in place"
"5471";"icon";"famous person/thing"
"5728";"infect";"place/substance"
"5833";"instruction";"teaching/training"
"5867";"interest";"activity/subject"
"5919";"interpretation";"story/music"
"5984";"involve";"affect/include"
"6103";"justify";"give/be reason"
"6276";"lead";"film/play"
"6324";"legacy";"money/property"
"6384";"lie";"responsibility/blame"
"6386";"life";"plants/animals"
"6468";"load";"put in vehicle/machine"
"6568";"lose";"time/opportunity"
"6606";"love";"friends/family"
"6615";"low";"amount/level"
"6706";"manage";"use time/money"
"6749";"mark";"damage/make dirty"
"6753";"married";"with wife/husband"
"6935";"miss";"not see/hear"
"6952";"mix";"combine qualities/activities"
"6959";"mixture";"styles/ideas"
"7031";"monument";"building/place"
"7218";"much";"often/ a lot"
"7242";"mutual";"friend/interest"
"7723";"official";"job/duties"
"7739";"often";"normal/true"
"7813";"one";"particular person/thing"
"8131";"part";"movie/play"
"8294";"pick";"flowers/fruit"
"8302";"piece";"art/literature/music"
"8364";"plant";"idea/doubts"
"8377";"player";"sport/game"
"8499";"position";"sitting/standing"
"8516";"possibility";"may happen/be true"
"8619";"presence";"police/soldiers"
"8622";"present";"play/movie"
"8636";"pressure";"liquid/gas"
"8640";"pretty";"place/object"
"8658";"print";"writing/images"
"8659";"print";"books/newspapers"
"8698";"producer";"goods/food"
"8707";"production";"film/music"
"8739";"program";"tv/radio"
"8877";"push";"move someone/something"
"9158";"record";"song/music"
"9161";"record";"store sound/pictures"
"9166";"recording";"music/speech"
"9193";"reference";"name/book title"
"9226";"regular";"same time/space"
"9230";"regulate";"activity/process"
"9231";"regulate";"speed/temperature"
"9238";"reign";"main feeling/quality"
"9239";"reign";"king/queen"
"9246";"reject";"job/school"
"9247";"rejection";"job/college"
"9259";"relationship";"two people/groups"
"9270";"release";"record/film"
"9271";"release";"area/atmosphere"
"9317";"renewal";"repair/improve"
"9348";"represent";"speak/act for"
"9376";"residential";"course/job"
"9413";"rest";"relax/sleep"
"9505";"rise";"sun/moon"
"9576";"rough";"sea/weather"
"9849";"schedule";"school/college"
"9850";"schedule";"bus/train"
"9861";"school";"college/university"
"9870";"scratch";"hurt/damage"
"9947";"sell";"idea/plan"
"9958";"sensation";"feeling/idea"
"9982";"separate";"husband/wife"
"10007";"serve";"provide food/drink"
"10023";"set";"movie/play"
"10025";"set";"story/movie"
"10104";"shine";"eyes/face"
"10128";"short";"length/distance/height"
"10368";"solid";"not liquid/gas"
"10563";"stand";"for selling/showing"
"10587";"starving";"ill/dying"
"10623";"still";"water/air"
"10660";"stop";"trip/activity"
"10662";"stop";"bus/train"
"10807";"struggle";"try defeat/prevent"
"10812";"studio";"tv/radio/music"
"10818";"study";"school/college"
"10840";"subject";"story/painting"
"11093";"target";"object/person shot at"
"11100";"taste";"food/drink"
"11122";"technical";"science/industry"
"11123";"technically";"science/industry"
"11198";"tension";"between people/groups"
"11206";"terrific";"large/serious"
"11207";"territory";"person's/animal's land"
"11225";"thank you";"accept/refuse"
"11286";"thing";"person/animal"
"11343";"throne";"for king/queen"
"11358";"tie";"competition/game"
"11368";"time";"minutes/days/years"
"11530";"token";"love/thanks"
"11551";"tool";"make/repair"
"11577";"torture";"boring/unpleasant"
"11658";"transfer";"change job/team"
"11672";"transmit";"radio/television"
"11678";"transport";"goods/people"
"11680";"transportation";"moving people/goods"
"11902";"understand";"know why/how"
"11949";"unload";"ship/aircraft"
"12218";"water";"ocean/lake"
"12361";"will";"able/willing"
"12482";"worst";"most unpleasant/difficult"
